Date,Suspected,Quarantined,Monitored,Tested(total),Confirmed daily,Confirmed,Active,Recovered,Official deaths daily,Unofficial deaths daily,Source
19 February 2020 ,12,13,1000,,,0,,,,,[44] 
27 February 2020 ,47,55,1570,,,0,,,,,[121] 
28 February 2020 ,106,146,3000,,0,0,,,0,,[122] 
29 February 2020 ,,,,307,,0,,,0,,[123] 
1 March 2020 ,,,,,0,0,,,0,,[124] 
2 March 2020 ,121,237,3600,,0,0,,,0,,[125] 
3 March 2020 ,68,316,4459,559,0,0,,,0,,[46][45] 
4 March 2020 ,65,349,4540,584,1,1,1,,0,,[126][127][128] 
5 March 2020 ,92,490,5647,676,0,1,1,,0,,[129][130] 
6 March 2020 ,128,1299,6184,855,4,5,5,,0,,[131][132] 
7 March 2020 ,146,1548,6409,,1,6,6,,0,,[133][134] 
8 March 2020 ,168,932,7122,1154,5,11,11,,0,,[135][136][137][52] 
9 March 2020 ,467,1014,7110,1384,6,17,17,,0,,[109][138][139] 
10 March 2020 ,220,1055,9366,1630,5,22,22,,0,,[140][141][142][143] 
11 March 2020 ,317,1193,11524,2024,9,31,31,,0,,[144][145][146] 
12 March 2020 ,384,2736,14841,2234,20,51,50,,1,,[148][149][150][151][152] 
13 March 2020 ,521,3151,17784,2889,17,68,66,,1,,[154][155][156] 
14 March 2020 ,526,4413,20340,4414,36,104,101,,1,,[158][159][160] 
15 March 2020 ,768,7535,25816,5493,21,125,122,,0,,[161][162][163] 
16 March 2020 ,734,10050,30129,,52,177,173,,1,,[165][164] 
17 March 2020 ,833,37510,35853,7899,61,238,232,1,1,,[167][168][111] 
18 March 2020 ,923,57185,40110,9515,49,287,281,,0,,[169][170][171] 
19 March 2020 ,871,76764,48660,11196,68,355,349,,0,1,[172][173][174] 
20 March 2020 ,898,109235,53117,13072,70,425,417,2,0,,[178][179][180] 
21 March 2020 ,1047,128920,56623,15084,111,536,528,,0,,[181][182][183] 
22 March 2020 ,1084,128980,58826,17607,98,634,624,,2,,[186][187][188] 
23 March 2020 ,1138,150746,51142,20127,116,749,738,,1,,[190][191][192] 
24 March 2020 ,1479,167040,53426,22898,152,901,883,1,2,1,[195][196][197] 
25 March 2020 ,1615,209208,56930,26244,150,1051,1025,6,3,,[201][202][203] 
26 March 2020 ,1606,234382,59081,29564,170,1221,1186,9,3,,[206][207] 
27 March 2020 ,1696,256156,58306,34067,168,1389,1353,1,0,1,[209][210][211][212] 
28 March 2020 ,1719,265303,56585,38674,249,1638,1597,3,2,,[216][217][218][219] 
29 March 2020 ,1879,269307,52612,42783,224,1862,1812,5,4,,[224][225][226] 
30 March 2020 ,1900,270314,52370,46607,193,2055,1989,7,9,,[230][231][232] 
31 March 2020 ,1924,270314,50804,51419,256,2311,2243,,2,,[235][236][237] 
1 April 2020 ,,,,55801,243,2554,2464,12,10,,[242][243][244] 
2 April 2020 ,2317,183095,48039,61178,392,2946,2842,,14,,[248][249] 
3 April 2020 ,2158,174997,44491,66938,437,3383,3265,,14,1,[253][254][255][256] 
4 April 2020 ,2303,160587,41146,72901,244,3627,3432,69,8,,[260][261][262] 
5 April 2020 ,2434,131888,39157,80757,475,4102,3874,18,15,,[266][263][267] 
